이름,주소,위도,경도,상세정보
동의대학교 박물관,부산광역시 부산진구 가야동 464-121,35.14432081,129.0363092,
동천문화공원,부산광역시 남구 문현동 1227-1,35.14865604,129.0643778,
동해공원,부산광역시 기장군 기장읍 동부리 376-6,35.2492351,129.2187875,
돛단배공원,부산광역시 강서구 명지동 3577-1,35.09594065,128.9002654,
두루미공원,부산광역시 강서구 명지동 3455-5,35.09569613,128.923634,
두명소공원,부산광역시 기장군 정관읍 두명리 254-28,35.36180647,129.1466728,
두송공원,부산광역시 사하구 다대동 94-3,35.06629567,128.9853734,
두실새싹공원,부산광역시 금정구 구서동 1023-42,35.257982,129.0856979,
둥지공원,부산광역시 기장군 정관읍 모전리 718,35.34010345,129.1617723,
등나무공원,부산광역시 사하구 다대동 80-1,35.06789445,128.9804316,
등대공원,부산광역시 강서구 명지동 3241-1,35.080713,128.906433,
디오티미술관,부산광역시 금정구 장전동 503-44,35.228821,129.076708,
땅뫼산 황토숲길,부산광역시 금정구 오륜동  352-3,35.247078,129.12192,
떡곡숲공원,부산광역시 기장군 일광읍 삼성리 751,35.26314392,129.2188056,
뜰마루마당공원,부산광역시 기장군 기장읍 내리 788,35.20541285,129.2068557,
라온공원,부산광역시 수영구 광안동 1336,35.1578284,129.1075342,
렛츠런파크 부산경남,부산광역시 강서구 범방동 1833,35.1566,128.87521,
록봉민속교육박물관,부산광역시 강서구 천성동 813,35.03153063,128.8135847,
륜 빌리지 ,부산광역시 금정구 오륜동 325,35.24763,129.11644,
리틀 프린스 하우스,부산광역시 사하구 감천동 10-13,35.09775,129.00851,
링컨공원,부산광역시 강서구 명지동 3231-1,35.08555226,128.897768,
마루공원,부산광역시 사하구 당리동 63-40,35.10606634,128.9771054,
마비등공원,부산광역시 강서구 범방동 1903-3,35.146778,128.881378,
마하사,부산광역시 연제구 연산동 2039,35.163532,129.08733,
만남의 공원,부산광역시 수영구 망미동 1184,35.17340265,129.1021879,
만덕사지당간지주역사공원,부산광역시 북구 만덕동 784,35.21553348,129.0434376,
망미공원,부산광역시 수영구 망미동 640-13,35.17375404,129.1046625,
망양로 산복도로 전시관,부산광역시 동구 초량동 865-148,35.117672,129.0332,
맥도생태공원,부산광역시 강서구 대저2동 1200-32,35.152267,128.95494,
