이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
길당구장,당구장 운영업,구서1동,부산광역시 금정구 구서동 86-36,부산광역시 금정구 금정로233번길 55,129.0909009,35.2471684
짐핏부산,체력 단련시설 운영업,장전1동,부산광역시 금정구 장전동 146-5,부산광역시 금정구 수림로85번길 53,129.0831956,35.23753291
락휴코인노래연습장 부산대,노래 연습장 운영업,장전2동,부산광역시 금정구 장전동 420-1,부산광역시 금정구 부산대학로 49,129.0856681,35.23114623
작당당구장,당구장 운영업,부곡4동,부산광역시 금정구 부곡동 394-13,부산광역시 금정구 동현로16번길 95,129.0875308,35.21983174
배산임수로또명당,복권 발행 및 판매업,장전2동,부산광역시 금정구 장전동 643-310,부산광역시 금정구 장전로 2,129.0885171,35.22746547
보드게임카페레드버튼부산 동래점,기타 오락장 운영업,명륜동,부산광역시 동래구 명륜동 560-6,부산광역시 동래구 명륜로129번길 2,129.0819834,35.20557198
스파골프랜드,골프 연습장 운영업,온천1동,부산광역시 동래구 온천동 165-2,부산광역시 동래구 금강공원로 10-1,129.08351,35.21890977
대박PC,컴퓨터 게임방 운영업,온천3동,부산광역시 동래구 온천동 1421-16,부산광역시 동래구 아시아드대로 250,129.0685959,35.20586461
오엑스피시방 동래역점,컴퓨터 게임방 운영업,명륜동,부산광역시 동래구 명륜동 553-5,부산광역시 동래구 명륜로129번길 20,129.0812782,35.20547597
스텝테니스,그 외 기타 스포츠시설 운영업,온천1동,부산광역시 동래구 온천동 153-8,부산광역시 동래구 중앙대로 1523,129.0855805,35.22128918
신바람노래연습장,노래 연습장 운영업,부곡3동,부산광역시 금정구 부곡동 224-58,부산광역시 금정구 중앙대로1719번길 64,129.0886307,35.23788978
천지24당구클럽,당구장 운영업,온천1동,부산광역시 동래구 온천동 189-25,부산광역시 동래구 차밭골로20번길 68,129.0819536,35.21859412
대박행운,복권 발행 및 판매업,장전1동,부산광역시 금정구 장전동 107-6,부산광역시 금정구 금강로 377,129.0863134,35.24175963
피티메이저,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 174-35,부산광역시 동래구 문화로 9-8,129.0837596,35.21063291
플랙스CAROMCLUB,당구장 운영업,명륜동,부산광역시 동래구 명륜동 553-5,부산광역시 동래구 명륜로129번길 20,129.0812782,35.20547597
근의공식GYM,체력 단련시설 운영업,장전1동,부산광역시 금정구 장전동 96-27,부산광역시 금정구 금강로 389,129.0864726,35.24282925
핏핏바디트레이닝PT센터 동래점,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 618-5,부산광역시 동래구 명륜로 151,129.0816761,35.20729846
해오름탁구장,그 외 기타 스포츠시설 운영업,명륜동,부산광역시 동래구 명륜동 681-16,부산광역시 동래구 동래로 41,129.0794473,35.21117568
오엑스피씨,컴퓨터 게임방 운영업,구서2동,부산광역시 금정구 구서동 184-1,부산광역시 금정구 중앙대로1929번길 11,129.0904986,35.25631296
미남기원,기원 운영업,온천3동,부산광역시 동래구 온천동 1277-1,부산광역시 동래구 아시아드대로 251,129.0682541,35.20623992
소소PLAY 부산대점,전자 게임장 운영업,장전2동,부산광역시 금정구 장전동 643-117,부산광역시 금정구 장전온천천로 51,129.0888241,35.22958687
닥터솔루션,체력 단련시설 운영업,구서2동,부산광역시 금정구 구서동 735-1,부산광역시 금정구 구서중앙로40번길 48,129.0871935,35.25637905
메타PC장전역점,컴퓨터 게임방 운영업,부곡3동,부산광역시 금정구 부곡동 225-55,부산광역시 금정구 중앙대로1719번길 37,129.0901414,35.23769247
디딤 골프연습장,골프 연습장 운영업,부곡2동,부산광역시 금정구 부곡동 235-13,부산광역시 금정구 중앙대로1685번길 19,129.0906163,35.2348006
골프존파크 부곡지스타점,골프 연습장 운영업,부곡2동,부산광역시 금정구 부곡동 235-1,부산광역시 금정구 중앙대로1685번길 7,129.0912393,35.23468169
승산스크린골프,운동 및 경기용품 소매업,구서2동,부산광역시 금정구 구서동 203-5,부산광역시 금정구 구서중앙로15번길 20,129.0890516,35.25386882
모움피티,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 721-21,부산광역시 동래구 온천천로 71-1,129.0804648,35.21275323
