이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,6,11:00,22:00,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,0,,,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,1,,,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,2,,,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,3,,,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,4,,,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,5,,,,,,,,,,,,,
이비가짬뽕 구서점,부산광역시 금정구 구서동 1026-10,6,,,,,,,,,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,0,11:30,22:00,15:00,17:00,20:30,,"첫째, 셋째 주 일요일 정기휴무",,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,1,11:30,22:00,15:00,17:00,20:30,,,,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,2,11:30,22:00,15:00,17:00,20:30,,,,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,3,11:30,22:00,15:00,17:00,20:30,,,,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,4,11:30,22:00,15:00,17:00,20:30,,,,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,5,11:30,22:00,15:00,17:00,20:30,,,,,,,,
어플러스,부산광역시 금정구 구서동 1026-13,6,11:30,22:00,15:00,17:00,20:30,,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,0,11:30,21:30,,,,,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,1,,,,,,TRUE,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,2,11:30,21:30,,,,,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,3,11:30,21:30,,,,,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,4,11:30,21:30,,,,,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,5,11:30,21:30,,,,,,,,,,,
가화숯불돼지갈비,부산광역시 금정구 구서동 1026-15,6,11:30,21:30,,,,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,0,11:00,21:00,,,20:20,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,1,11:00,21:00,15:30,17:00,20:20,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,2,11:00,21:00,15:30,17:00,20:20,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,3,11:00,21:00,15:30,17:00,20:20,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,4,11:00,21:00,15:30,17:00,20:20,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,5,11:00,21:00,15:30,17:00,20:20,,,,,,,,
일디오보,부산광역시 금정구 구서동 1026-2,6,11:00,21:00,,,20:20,,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,0,11:00,21:00,,,,,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,1,,,,,,TRUE,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,2,11:00,21:00,,,,,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,3,11:00,21:00,,,,,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,4,11:00,21:00,,,,,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,5,11:00,21:00,,,,,,,,,,,
박달집,부산광역시 금정구 구서동 1026-8,6,11:00,21:00,,,,,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,0,11:30,21:30,14:30,17:00,,,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,1,,,,,,TRUE,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,2,11:30,21:30,14:30,17:00,,,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,3,11:30,21:30,14:30,17:00,,,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,4,11:30,21:30,14:30,17:00,,,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,5,11:30,21:30,14:30,17:00,,,,,,,,,
본중식,부산광역시 금정구 구서동 1032-4,6,11:30,21:30,14:30,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,0,11:30,22:00,15:30,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,1,11:30,22:00,15:00,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,2,11:30,22:00,15:00,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,3,11:30,22:00,15:00,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,4,11:30,22:00,15:00,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,5,11:30,22:00,15:00,17:00,,,,,,,,,
우정갈비,부산광역시 금정구 구서동 1032-8,6,11:30,22:00,15:30,17:00,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,0,12:00,0:00,,,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,1,12:00,0:00,,,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,2,12:00,0:00,,,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,3,12:00,0:00,,,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,4,12:00,0:00,,,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,5,12:00,0:00,,,,,,,,,,,
국제통닭 구서점,부산광역시 금정구 구서동 1033-1,6,12:00,0:00,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,0,,,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,1,,,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,2,,,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,3,,,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,4,,,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,5,,,,,,,,,,,,,
오드리휍번,부산광역시 금정구 구서동 1033-3,6,,,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,0,10:00,22:00,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,1,10:00,22:00,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,2,10:00,22:00,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,3,10:00,22:00,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,4,10:00,22:00,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,5,10:00,22:00,,,,,,,,,,,
한우고기집,부산광역시 금정구 구서동 1033-3,6,10:00,22:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,0,11:30,21:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,1,11:30,21:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,2,11:30,21:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,3,11:30,21:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,4,11:30,21:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,5,11:30,21:00,,,,,,,,,,,
1993다이닝,부산광역시 금정구 구서동 1033-6,6,11:30,21:00,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,0,,,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,1,,,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,2,,,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,3,,,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,4,,,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,5,,,,,,,,,,,,,
처갓집양념치킨 구서점,부산광역시 금정구 구서동 1059,6,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,0,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,1,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,2,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,3,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,4,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,5,,,,,,,,,,,,,
본죽앤비빔밥 부산부곡점,부산광역시 금정구 부곡동 223-8,6,,,,,,,,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,0,,,,,,,5~8월은 21시 영업종료,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,1,,,,,,,5~8월은 21시 영업종료,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,2,,,,,,,5~8월은 21시 영업종료,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,3,,,,,,,5~8월은 21시 영업종료,,,,,,
