이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
쿠쿠,서양식 음식점업,구서1동,부산광역시 금정구 구서동 414-89,부산광역시 금정구 금정로231번길 32,129.0891907,35.24516136
평화김해뒷고기 구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-89,부산광역시 금정구 금정로231번길 32,129.0891907,35.24516136
장가네장충왕족발,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-109,부산광역시 금정구 수림로50번길 160,129.0900559,35.24634494
유가네닭갈비 구서역점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-112,부산광역시 금정구 금정로233번길 39,129.0909135,35.24637518
마켓990 구서점,피자; 햄버거; 샌드위치 및 유사 음식점업,구서1동,부산광역시 금정구 구서동 415-112,부산광역시 금정구 금정로233번길 39,129.0909135,35.24637518
94바,서양식 음식점업,구서1동,부산광역시 금정구 구서동 415-118,부산광역시 금정구 수림로50번길 134,129.0900579,35.24513737
백년가마솥통닭,치킨 전문점,구서1동,부산광역시 금정구 구서동 415-2,부산광역시 금정구 금정로233번길 41,129.0908062,35.24647616
보배쭈꾸미 구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-2,부산광역시 금정구 금정로233번길 41,129.0908062,35.24647616
호야문현곱창,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 415-22,부산광역시 금정구 금정로231번길 16,129.0899432,35.24495011
세자매의식탁,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-22,부산광역시 금정구 금정로231번길 16,129.0899432,35.24495011
진가원,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-3,부산광역시 금정구 금정로233번길 31,129.0907012,35.24623467
오소리순대,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-32,부산광역시 금정구 금정로233번길 37,129.0907822,35.24639547
디노이레스토랑,서양식 음식점업,구서1동,부산광역시 금정구 구서동 415-34,부산광역시 금정구 구서로 3-1,129.0905542,35.24649854
롯데리아구서,피자; 햄버거; 샌드위치 및 유사 음식점업,구서1동,부산광역시 금정구 구서동 415-34,부산광역시 금정구 구서로 3-1,129.0905542,35.24649854
불장화,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 415-42,부산광역시 금정구 수림로50번길 140,129.0899916,35.24555304
두찜부산구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-45,부산광역시 금정구 수림로50번길 138,129.0899669,35.24544533
이가네 명인갈비살 구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-45,부산광역시 금정구 수림로50번길 138,129.0899669,35.24544533
진리,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 415-5,부산광역시 금정구 수림로50번길 150,129.090188,35.24592813
행복한오리구서,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 420-20,부산광역시 금정구 중앙대로1793번길 38,129.0914955,35.24337332
애영,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 420-5,부산광역시 금정구 중앙대로1805번길 16,129.0922927,35.24490049
푸주옥설렁탕도가니탕,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 420-56,부산광역시 금정구 금정로 248,129.0925252,35.24540111
불끈낙지 구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 444,부산광역시 금정구 금정로 226,129.0906957,35.24388277
이층포차,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 445-1,부산광역시 금정구 금정로231번길 5,129.090396,35.24461788
부산식객 구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 445-13,부산광역시 금정구 금정로 221,129.0901893,35.24383745
