이름,지번주소,도로명주소,요일,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,휴무여부,비고
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,5,,,,,,,
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,6,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,0,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,1,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,2,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,3,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,4,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,5,,,,,,,
316카페이룸,부산광역시 영도구 동삼동 1163,부산광역시 영도구 해양로301번길 36,6,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,0,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,1,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,2,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,3,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,4,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,5,,,,,,,
33게이트,부산광역시 부산진구 전포동 664-9,부산광역시 부산진구 서전로37번길 20,6,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,0,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,1,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,2,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,3,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,4,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,5,,,,,,,
3XL커피,부산광역시 동구 초량동 1193-5,부산광역시 동구 중앙대로 240,6,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,0,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,1,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,2,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,3,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,4,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,5,,,,,,,
3XL커피 부산삼성화재사옥점,부산광역시 동구 초량동 1205-22,부산광역시 동구 중앙대로 184,6,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,0,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,1,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,2,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,3,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,4,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,5,,,,,,,
45번길카페/45번길쿠키,부산광역시 서구 서대신동3가 360-12,부산광역시 서구 대영로45번길 78,6,,,,,,,
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,0,,,,,,,
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,1,,,,,,,
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,2,,,,,,,
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,3,,,,,,,
