이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
타임,카페,기타 비알코올 음료점업,부산광역시 해운대구 좌동 892,,부산광역시 해운대구 좌동로91번길 20,,,129.1744627,35.1730639,,,,,,
11월4일,카페,커피 전문점,부산광역시 남구 용호동 498-1,,부산광역시 남구 동명로169번길 8,1,,129.1156711,35.11927935,,,,,,
카페블루,카페,커피 전문점,부산광역시 북구 덕천동 383-21,한사랑내과병원,부산광역시 북구 만덕대로 38,1,,129.0090866,35.21076009,,,,,,
에스카페,카페,커피 전문점,부산광역시 해운대구 우동 1495,신세계백화점,부산광역시 해운대구 센텀남대로 35,2,,129.1295196,35.16881628,,,,,,
오소아,카페,커피 전문점,부산광역시 해운대구 재송동 442-3,일부호,부산광역시 해운대구 재반로11번길 63,,,129.1243508,35.18189261,,,,,,
미크,카페,커피 전문점,부산광역시 수영구 망미동 593-16,,부산광역시 수영구 망미배산로48번길 8,,,129.1031051,35.17438748,,,,,,
텐퍼센트 대신푸르지오점,카페,커피 전문점,부산광역시 서구 서대신동1가 283,대신푸르지오1차,부산광역시 서구 대영로38번길 11,,,129.0161303,35.10739587,,,,,,
국화향기전통찻집,카페,기타 비알코올 음료점업,부산광역시 동구 수정동 1-48,우측,부산광역시 동구 중앙대로 371,2,,129.0484233,35.12874372,,,,,,
컴포즈커피 초량고관로점,카페,커피 전문점,부산광역시 동구 초량동 35-8,,부산광역시 동구 고관로29번길 26,1,,129.0412696,35.12252023,,,,,,
생강나무,카페,커피 전문점,부산광역시 중구 중앙동4가 40-17,,부산광역시 중구 동광길 56,,,129.0348281,35.1051999,,,,,,
커피디셈버서동점,카페,커피 전문점,부산광역시 금정구 서동 510-30,삼화피티에스1~2층,부산광역시 금정구 동현로 121,,,129.096176,35.218664,,,,,,
어랏투고 서면점,카페,커피 전문점,부산광역시 부산진구 부전동 229,이원프라자,부산광역시 부산진구 중앙대로 668,1,,129.059594,35.15241716,,,,,,
와커피 범일동일타워점,카페,커피 전문점,부산광역시 동구 범일동 830-140,동일타워,부산광역시 동구 조방로 14,1,,129.0634506,35.13872593,,,,,,
유니칸동래지점,카페,커피 전문점,부산광역시 동래구 안락동 180-36,,부산광역시 동래구 온천천로 551,,,129.1132415,35.18989098,,,,,,
커피팜,카페,커피 전문점,부산광역시 사하구 당리동 336-3,,부산광역시 사하구 다대로 3,1,,128.9770198,35.101768,,,,,,
모디테이블,카페,커피 전문점,부산광역시 기장군 정관읍 모전리 689-12,무니하우스,부산광역시 기장군 정관읍 모전1길 76,1,,129.1703141,35.33660295,,,,,,
어블림,카페,커피 전문점,부산광역시 부산진구 부전동 425-11,,부산광역시 부산진구 부전로95번길 19,1,,129.0536271,35.15861035,,,,,,
숲404,카페,커피 전문점,부산광역시 금정구 금성동 569-1,,부산광역시 금정구 동문로 99,,,129.0578682,35.2488793,,,,,,
최선장,카페,커피 전문점,부산광역시 기장군 기장읍 시랑리 545-7,,부산광역시 기장군 기장읍 공수해안길 27-1,,,129.2127003,35.18445527,,,,,,
주커피 시청점,카페,커피 전문점,부산광역시 연제구 거제동 41-11,,부산광역시 연제구 거제천로 109,1,,129.0742497,35.18382473,,,,,,
바닐라808,카페,커피 전문점,부산광역시 사하구 하단동 519-20,,부산광역시 사하구 낙동남로1373번길 27,1,,128.9618111,35.10774669,,,,,,
마고1582,카페,커피 전문점,부산광역시 사하구 다대동 1582-8,,부산광역시 사하구 다송로72번길 45,1,,128.98172,35.0603628,,,,,,
